id_installation,installation,code_commune,commune,epci_code,epci_nom,code_departement,departement,basins_total_on_site,school_basins_total_on_site,students_per_basin_on_site,students_per_school_basin_on_site,schools_total,schools_geolocated_total,students_total,students_geolocated_total,primary_students,secondary_students,distance_coverage_share,drive_time_coverage_share,average_distance_to_installation_km,average_drive_time_to_installation_min,average_drive_distance_to_installation_km,average_distance_to_basin_km,students_within_5km_installation_share,students_within_15min_installation_share,basins_total,installations_total,school_basins_total,students_per_basin,students_per_installation,students_per_school_basin
I593920011,PISCINE TOURNESOL DE L'EPINETTE,59392,Maubeuge,200043396,CA Maubeuge Val de Sambre,59,Nord,1,1,10023.0,10023.0,40,40,10023,10023,4493,5530,1.0,1.0,1.946308,5.696369,3.102697,1.936198,0.97406,1.0,1,1,1,10023.0,10023.0,10023.0
I622890007,PISCINE MUNICIPALE,62289,Écuires,200069029,CA des Deux Baies en Montreuillois,62,Pas-de-Calais,2,2,4808.5,4808.5,65,57,9617,9617,4826,4791,1.0,1.0,8.881653,13.015628,10.415055,8.445312,0.352501,0.483519,2,1,2,4808.5,9617.0,4808.5
I627580010,Hélicéa,62758,Saint-Martin-Boulogne,246200729,CA du Boulonnais,62,Pas-de-Calais,2,1,4793.5,9587.0,54,48,9587,9587,4842,4745,1.0,1.0,5.998764,9.26152,8.736624,5.804213,0.546261,0.843121,2,1,1,4793.5,9587.0,9587.0
I594840006,Piscine du Sivah,59484,Quiévrechain,245901160,CA Valenciennes Métropole,59,Nord,2,2,4717.5,4717.5,43,40,9435,9435,5158,4277,1.0,1.0,7.160319,13.290414,9.737658,6.927356,0.245045,0.525596,2,1,2,4717.5,9435.0,4717.5
I591780040,PISCINE DES GLACIS,59178,Douai,200044618,CA Douaisis Agglo,59,Nord,3,3,3144.333333,3144.333333,27,26,9433,9433,4246,5187,1.0,1.0,1.421728,3.69029,2.110528,1.383091,0.949115,1.0,3,1,3,3144.333333,9433.0,3144.333333
I621330012,Centre Aquatique Louis Aragon,62133,Billy-Montigny,246200364,CA de Lens - Liévin,62,Pas-de-Calais,2,2,4715.0,4715.0,44,37,9430,9430,6434,2996,1.0,1.0,2.2052,5.728273,3.164455,2.223069,1.0,1.0,2,1,2,4715.0,9430.0,4715.0
I593500108,Piscine Olympique Marx Dormoy,59350,Lille,200093201,Métropole Européenne de Lille,59,Nord,2,2,4694.0,4694.0,24,24,9388,9388,2928,6460,1.0,1.0,1.211521,4.79041,1.969894,1.211521,1.0,1.0,2,1,2,4694.0,9388.0,4694.0
I591830087,Piscine Georges Guynemer,59183,Dunkerque,245900428,CU de Dunkerque,59,Nord,3,2,3110.333333,4665.5,39,38,9331,9331,4624,4707,1.0,1.0,2.077943,5.346667,3.189484,2.041899,0.972672,1.0,3,1,2,3110.333333,9331.0,4665.5
I621930039,Complexe Icéo,62193,Calais,200090751,CA Grand Calais Terres et Mers,62,Pas-de-Calais,6,2,1518.166667,4554.5,33,30,9109,9109,5174,3935,1.0,1.0,2.136906,5.463601,3.226115,2.052136,0.967944,1.0,6,1,2,1518.166667,9109.0,4554.5
I593500093,PISCINE MUNICIPALE/59355/LOMME,59350,Lille,200093201,Métropole Européenne de Lille,59,Nord,2,2,4491.5,4491.5,36,35,8983,8983,4621,4362,1.0,1.0,1.760529,4.658794,2.315894,1.632289,1.0,1.0,2,1,2,4491.5,8983.0,4491.5
I595260001,Centre Aquatique intercommunal de Saint-Amand-les-Eaux,59526,Saint-Amand-les-Eaux,200042190,CA de la Porte du Hainaut,59,Nord,2,2,4457.5,4457.5,38,33,8915,8915,5037,3878,1.0,1.0,2.661928,6.606342,3.579799,2.666939,0.793158,0.955356,2,1,2,4457.5,8915.0,4457.5
