epci_code,epci_nom,code_departement,departement,schools_total,schools_geolocated_total,students_total,students_geolocated_total,primary_students,secondary_students,distance_coverage_share,drive_time_coverage_share,average_distance_to_installation_km,average_drive_time_to_installation_min,average_drive_distance_to_installation_km,average_distance_to_basin_km,students_within_5km_installation_share,students_within_15min_installation_share,basins_total,installations_total,school_basins_total,students_per_basin,students_per_installation,students_per_school_basin
248000499,Communauté de communes du Val de Somme,80,80 - Somme,24,24,2488,2488,1386,1102,1.0,1.0,12.344572,17.193855,14.675317,12.27944,0.0,0.415193,0,0,0,0.0,0.0,0.0
200040426,Communauté de communes du Val de l'Oise,02,02 - Aisne,17,17,2472,2472,1454,1018,1.0,1.0,11.837976,15.59017,13.595417,11.574869,0.028722,0.299353,0,0,0,0.0,0.0,0.0
246000129,Communauté de communes du Liancourtois,60,60 - Oise,15,14,2202,2202,1597,605,1.0,1.0,6.964446,11.294137,10.269796,6.804381,0.117166,0.955495,0,0,0,0.0,0.0,0.0
200070928,Communauté de communes Terre de Picardie,80,80 - Somme,12,12,2038,2038,1373,665,1.0,1.0,13.747369,18.935996,16.401803,13.746931,0.0,0.01472,0,0,0,0.0,0.0,0.0
240200469,Communauté de communes du Pays de la Serre,02,02 - Aisne,11,11,2004,2004,696,1308,1.0,1.0,13.252891,16.848543,14.959009,12.551098,0.019461,0.619261,0,0,0,0.0,0.0,0.0
240200584,Communauté de communes du Canton de Charly-sur-Marne,02,02 - Aisne,8,8,1929,1929,1198,731,1.0,1.0,13.329586,24.159217,20.905454,13.284825,0.0,0.0,0,0,0,0.0,0.0,0.0
246000913,Communauté de communes du Pays de Bray,60,60 - Oise,19,19,1929,1929,1340,589,1.0,1.0,17.301679,30.575505,22.354381,17.216398,0.0,0.0,0,0,0,0.0,0.0,0.0
200069235,Communauté de communes du Haut Pays du Montreuillois,62,62 - Pas-de-Calais,28,28,1877,1877,803,1074,1.0,1.0,13.937968,19.70391,16.370058,13.76437,0.0,0.092701,0,0,0,0.0,0.0,0.0
200071769,Communauté de communes Picardie des Châteaux,02,02 - Aisne,16,16,1715,1715,1019,696,1.0,1.0,13.18142,19.959913,15.830863,13.115507,0.0,0.074052,0,0,0,0.0,0.0,0.0
247600588,Communauté de communes des Villes Sœurs,80,80 - Somme,12,12,1554,1554,795,759,1.0,1.0,9.077634,16.061988,12.640047,9.077634,0.0,0.261261,0,0,0,0.0,0.0,0.0
246000749,Communauté de communes des Lisières de l'Oise,60,60 - Oise,20,20,1077,1077,956,121,1.0,1.0,9.443329,15.896035,12.098992,8.859639,0.116992,0.27948,0,0,0,0.0,0.0,0.0
240200634,Communauté de communes des Portes de la Thiérache,02,02 - Aisne,7,7,875,875,593,282,1.0,1.0,19.909842,26.830583,24.850832,19.899873,0.0,0.148571,0,0,0,0.0,0.0,0.0
240200592,Communauté de communes du Chemin des Dames,02,02 - Aisne,2,2,486,486,126,360,1.0,1.0,14.412926,20.334444,16.497519,14.390778,0.0,0.0,0,0,0,0.0,0.0,0.0
240200519,Communauté de communes du Canton d'Oulchy-le-Château,02,02 - Aisne,2,2,327,327,327,0,1.0,1.0,17.027865,22.510336,22.264171,16.971034,0.0,0.0,0,0,0,0.0,0.0,0.0
200069722,Communauté de communes interrégionale Aumale - Blangy-sur-Bresle,80,80 - Somme,8,8,267,267,267,0,1.0,1.0,14.498933,21.115468,20.142963,14.305225,0.0,0.0,0,0,0,0.0,0.0,0.0
