epci_code,epci_nom,code_departement,departement,population_2023_communes,communes_total,communes_avec_licences_ffn,communes_avec_bassin,communes_avec_licences_sans_bassin,nb_qpv,pop_qpv,licences_ffn_2023,licences_toutes_2023,licences_hors_scol_2023,bassins_total,installations_total,bassins_dsp,part_dsp_bassins,bassins_regie,part_regie_bassins,bassins_prive_hors_dsp,part_autre_hors_dsp_bassins,bassins_usage_scolaires,part_bassins_usage_scolaires,bassins_site_scolaire_explicit,part_bassins_site_scolaire_explicit,bassins_qpv,bassins_qpv_200m,surface_totale_bassins_m2,bassins_pour_100k_hab,licences_ffn_pour_1000hab,licences_ffn_par_bassin,part_population_qpv
200090751,Communauté d'agglomération Grand Calais Terres et Mers,62,62 - Pas-de-Calais,98913,14,12,1,11,2,15414,474,19648,15751,8,2,0,0.0,8,1.0,0,0.0,4,0.5,0,0.0,0,0,1415.0,8.087915643039842,4.792090018501107,59.25,0.1558339146522702
246200299,Communauté d'agglomération d'Hénin-Carvin,62,62 - Pas-de-Calais,126133,14,13,2,11,10,16588,237,24326,18905,3,2,1,0.3333333333333333,2,0.6666666666666666,0,0.0,3,1.0,0,0.0,1,3,769.0,2.378441803493138,1.878969024759579,79.0,0.1315119754544806
200072460,"Communauté d'agglomération de Béthune-Bruay,Artois-Lys Romane",62,62 - Pas-de-Calais,275736,100,86,9,77,16,37054,1424,54396,41696,16,9,6,0.375,9,0.5625,1,0.0625,11,0.6875,0,0.0,3,8,5793.0,5.802651811878028,5.164360112571445,89.0,0.1343821626483303
246200364,Communauté d'agglomération de Lens - Liévin,62,62 - Pas-de-Calais,242591,36,34,4,30,20,58921,575,43558,34005,11,4,8,0.7272727272727273,3,0.2727272727272727,0,0.0,9,0.8181818181818182,0,0.0,0,3,3173.5,4.534380912729656,2.370244568017775,52.27272727272727,0.242882052508131
200069029,Communauté d'agglomération des Deux Baies en Montreuillois,62,62 - Pas-de-Calais,65084,46,30,3,28,2,2684,265,16802,13666,4,3,0,0.0,2,0.5,2,0.5,4,1.0,0,0.0,1,1,1000.0,6.145903755147194,4.071661237785016,66.25,0.04123901419703768
246200729,Communauté d'agglomération du Boulonnais,62,62 - Pas-de-Calais,112463,22,19,3,16,4,18379,596,21967,19041,7,3,0,0.0,5,0.7142857142857143,2,0.2857142857142857,5,0.7142857142857143,0,0.0,2,2,1534.0,6.224269315241457,5.299520731262726,85.14285714285714,0.1634226367783182
200069037,Communauté d'agglomération du Pays de Saint-Omer,62,62 - Pas-de-Calais,104320,53,42,3,39,3,7920,294,23270,17383,7,4,4,0.5714285714285714,3,0.4285714285714285,0,0.0,7,1.0,0,0.0,0,4,2088.0,6.710122699386503,2.818251533742331,42.0,0.07592024539877301
200044048,Communauté de communes Osartis Marquion,62,62 - Pas-de-Calais,42814,49,28,2,27,0,0,136,8695,6644,4,2,0,0.0,4,1.0,0,0.0,2,0.5,1,0.25,0,0,809.0,9.342738356612323,3.17653104124819,34.0,0.0
200072478,Communauté de communes Pays d'Opale,62,62 - Pas-de-Calais,25182,23,20,1,19,0,0,73,6095,4824,1,1,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0,46.6,3.971090461440712,2.89889603685172,73.0,0.0
200018083,Communauté de communes de Desvres-Samer,62,62 - Pas-de-Calais,23138,31,16,1,15,0,0,47,4524,3779,2,1,0,0.0,0,0.0,2,1.0,2,1.0,0,0.0,0,0,750.0,8.643789437289307,2.031290517762987,23.5,0.0
246200844,Communauté de communes de la Région d'Audruicq,62,62 - Pas-de-Calais,28187,15,12,1,11,0,0,175,6244,5060,1,1,0,0.0,1,1.0,0,0.0,1,1.0,0,0.0,0,0,250.0,3.547734771348494,6.208535849859865,175.0,0.0
246200380,Communauté de communes de la Terre des Deux Caps,62,62 - Pas-de-Calais,22375,21,14,0,14,1,1348,33,4814,4062,0,0,0,,0,,0,,0,,0,,0,0,0.0,0.0,1.474860335195531,,0.06024581005586592
