id_installation,installation,commune,departement,epci_nom,current_status,priority_label,priority_score,suggested_status,suggested_status_label,confidence,ready_for_override,evidence_domain_type,evidence_url,evidence_title,evidence_snippet,evidence_origin,query_used,review_comment
I620400005,PISCINE MUNICIPALE,Arques,Pas-de-Calais,CA du Pays de Saint-Omer,Ouvert probable,,2,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I602860002,PISCINE OCEANE,Grandvilliers,Oise,CC de la Picardie Verte,Ouvert probable,,2,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I593400009,PISCINE PAUL HANCOLAS ET SALLE DEMARTINICOURT,Leffrinckoucke,Nord,CU de Dunkerque,Ouvert probable,,2,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I023400001,Piscine,Gauchy,Aisne,CA du Saint-Quentinois,Ouvert probable,,2,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I600570060,Piscine Aldebert Bellier,Beauvais,Oise,CA du Beauvaisis,Ouvert probable,,2,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I804100008,Piscine Aquari'Ham,Ham,Somme,CC de l'Est de la Somme,Ouvert probable,,2,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I625340009,Piscine Intercommunale de Lumbres,Lumbres,Pas-de-Calais,CC du Pays de Lumbres,Ouvert probable,,2,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I020590004,Piscine Lucien Lahaye,Beautor,Aisne,CA Chauny-Tergnier-La Fère,Ouvert probable,,2,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I592050005,Piscine Maurice Thorez,Escaudain,Nord,CA de la Porte du Hainaut,Ouvert probable,,2,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I591630006,Piscine Municipale,Croix,Nord,Métropole Européenne de Lille,Ouvert probable,,2,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I593780017,Piscine Municipale,Marcq-en-Barœul,Nord,Métropole Européenne de Lille,Ouvert probable,,2,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I593500108,Piscine Olympique Marx Dormoy,Lille,Nord,Métropole Européenne de Lille,Ouvert probable,,2,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I603950010,Piscine des Sablons,Méru,Oise,CC des Sablons,Ouvert probable,,2,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I594840006,Piscine du Sivah,Quiévrechain,Nord,CA Valenciennes Métropole,Ouvert probable,,2,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I626170019,Piscine municipale,Nœux-les-Mines,Pas-de-Calais,"CA de Béthune-Bruay, Artois-Lys Romane",Ouvert probable,,2,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I601590027,Plaine des sports Zac Mercieres,Compiègne,Oise,CA de la Région de Compiègne et de la Basse Automne,Ouvert probable,,2,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I625250002,SCENEO,Longuenesse,Pas-de-Calais,CA du Pays de Saint-Omer,Ouvert probable,,2,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I592730013,complexe Maurice Baude et Piscine Municipale,Gravelines,Nord,CU de Dunkerque,Ouvert probable,,2,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I806850010,Arobase,Roye,Somme,CC du Grand Roye,Ouvert probable,,1,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I591830041,BASSIN D INITIATION DELEERSNYDER,Dunkerque,Nord,CU de Dunkerque,Ouvert probable,,1,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I806200002,CENTRE AQUATIQUE,Péronne,Somme,CC de la Haute Somme (Combles - Péronne - Roisel),Ouvert probable,,1,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I606890002,CENTRE DES SPORTS RIMBERLIEU,Villers-sur-Coudun,Oise,CC du Pays des Sources,Ouvert probable,,1,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I023610002,Centre aquatique AQUOISIA,Guise,Aisne,CC Thiérache Sambre et Oise,Ouvert probable,,1,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I803680002,Complexe sportif Viméo,Friville-Escarbotin,Somme,CC du Vimeu,Ouvert probable,,1,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
