code_fede_ref,sexe,trage_full,trage,code_departement,departement,newreg,newreg_l,licences_ffn_2024,population_reference,licences_pour_1000hab,rank_fede_dep,lics_pop_fr,indice_specificite,fede_gp
119,F,p - de 75 à 79 ans,75 à 79 ans,2,02 - Aisne,32,32 - Hauts-de-France,15,12888,1.16387337057728,49.0,1.87635334592826,0.620284752391078,1. Olympique
119,F,q - de 80 à 99 ans,80 ans et plus,2,02 - Aisne,32,32 - Hauts-de-France,16,19067,0.839146168773273,20.0,0.591661023507788,1.41828874208786,1. Olympique
119,H,NR - Non réparti,NR - Non réparti,2,02 - Aisne,32,32 - Hauts-de-France,0,0,,,,,1. Olympique
119,H,a - de 1 à 4 ans,0 à 4 ans,2,02 - Aisne,32,32 - Hauts-de-France,48,13500,3.55555555555556,46.0,4.60203679585601,0.772604764646215,1. Olympique
119,H,b - de 5 à 9 ans,5 à 9 ans,2,02 - Aisne,32,32 - Hauts-de-France,296,15813,18.7187756908872,79.0,30.9969001095759,0.603891860951103,1. Olympique
119,H,c - de 10 à 14 ans,10 à 14 ans,2,02 - Aisne,32,32 - Hauts-de-France,305,18050,16.8975069252078,59.0,19.6391013274803,0.860401229335464,1. Olympique
119,H,d - de 15 à 19 ans,15 à 19 ans,2,02 - Aisne,32,32 - Hauts-de-France,77,17132,4.49451319168807,79.0,6.13189189189189,0.732973325513305,1. Olympique
119,H,e - de 20 à 24 ans,20 à 24 ans,2,02 - Aisne,32,32 - Hauts-de-France,16,14262,1.12186229140373,84.0,2.03438986145334,0.551449018037421,1. Olympique
119,H,f - de 25 à 29 ans,25 à 29 ans,2,02 - Aisne,32,32 - Hauts-de-France,9,13086,0.687757909215956,93.0,2.03554372504502,0.337874299015977,1. Olympique
119,H,g - de 30 à 34 ans,30 à 34 ans,2,02 - Aisne,32,32 - Hauts-de-France,16,14186,1.1278725504018,77.0,2.10877582056452,0.534847061220511,1. Olympique
119,H,h - de 35 à 39 ans,35 à 39 ans,2,02 - Aisne,32,32 - Hauts-de-France,24,15661,1.53246919098397,74.0,2.44578314407459,0.626576070203399,1. Olympique
119,H,i - de 40 à 44 ans,40 à 44 ans,2,02 - Aisne,32,32 - Hauts-de-France,43,16256,2.64517716535433,49.0,3.03272094312449,0.872212516404199,1. Olympique
119,H,j - de 45 à 49 ans,45 à 49 ans,2,02 - Aisne,32,32 - Hauts-de-France,29,15190,1.90915075707702,76.0,3.35687422804288,0.568728712302723,1. Olympique
119,H,k - de 50 à 54 ans,50 à 54 ans,2,02 - Aisne,32,32 - Hauts-de-France,29,17230,1.68311085316309,72.0,2.79773399594516,0.601597884431641,1. Olympique
119,H,l - de 55 à 59 ans,55 à 59 ans,2,02 - Aisne,32,32 - Hauts-de-France,17,17103,0.993977664737181,79.0,2.07411166341818,0.479230545909512,1. Olympique
119,H,m - de 60 à 64 ans,60 à 64 ans,2,02 - Aisne,32,32 - Hauts-de-France,13,16842,0.771879824248902,81.0,1.56814721134656,0.492224083723677,1. Olympique
119,H,n - de 65 à 69 ans,65 à 69 ans,2,02 - Aisne,32,32 - Hauts-de-France,8,15319,0.522227299432078,84.0,1.16430065047553,0.448533030724312,1. Olympique
119,H,o - de 70 à 74 ans,70 à 74 ans,2,02 - Aisne,32,32 - Hauts-de-France,8,14410,0.555170020818876,57.0,0.774345982761767,0.716953446105341,1. Olympique
119,H,p - de 75 à 79 ans,75 à 79 ans,2,02 - Aisne,32,32 - Hauts-de-France,2,10513,0.190240654427851,80.0,0.611403083164423,0.311154228145576,1. Olympique
119,H,q - de 80 à 99 ans,80 ans et plus,2,02 - Aisne,32,32 - Hauts-de-France,2,10329,0.193629586600833,38.0,0.252986056854181,0.765376515245815,1. Olympique
119,F,NR - Non réparti,NR - Non réparti,59,59 - Nord,32,32 - Hauts-de-France,0,0,,,,,1. Olympique
119,F,a - de 1 à 4 ans,0 à 4 ans,59,59 - Nord,32,32 - Hauts-de-France,160,67469,2.37145948509686,60.0,4.57425289677931,0.518436461343574,1. Olympique
119,F,b - de 5 à 9 ans,5 à 9 ans,59,59 - Nord,32,32 - Hauts-de-France,1667,77335,21.555569923062,79.0,34.6238018581063,0.622565078537592,1. Olympique
119,F,c - de 10 à 14 ans,10 à 14 ans,59,59 - Nord,32,32 - Hauts-de-France,1310,85285,15.3602626487659,92.0,23.1427320915274,0.663718639096605,1. Olympique
