id_equipement,id_installation,installation,equipement,code_commune,commune,dep_code,departement,epci_code,epci_nom,type_equipement,categorie,proprietaire,type_proprietaire,type_gestionnaire,gestion_dsp_source,mode_gestion_calcule,surface_bassin_m2,longueur_m,largeur_m,profondeur_min_m,profondeur_max_m,nb_couloirs,type_utilisation,usage_scolaires,site_scolaire_explicit,particularite_installation,uai,qpv,qpv_flag,qpv_200m,qpv_200m_flag,longitude,latitude,activites
E006I024080034,I024080034,Le dôme - Centre aquatique & patinoire,Bassin reception de toboggan,2408,Laon,2,Aisne,200043495,CA du Pays de Laon,Bassin de réception de toboggan,,,EPCI,Etablissement privé commercial,True,DSP,35.0,7.0,5.0,1.5,1.5,,"[""Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités,Autre - association(s) et groupes divers""]",1,0,"Piscine, Patinoire",,,0,,0,3.65153,49.566651,Baignade loisirs
E002I023400001,I023400001,Piscine,Grand bassin,2340,Gauchy,2,Aisne,200071892,CA du Saint-Quentinois,Bassin mixte de natation,structurant,Communauté d'Agglomération du Saint-Quentinois,EPCI,EPCI,False,Régie publique,250.0,25.0,10.0,1.3,2.1,,"[""Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités,Autre - association(s) et groupes divers""]",1,0,Piscine,,,0,,0,3.2914,49.83087,"Aquagym, Baignade loisirs, Nage avec palmes, Natation course sportive, Plongée subaquatique (Plongée libre), Sauvetage en eau plate, Water-Polo"
E001I023400001,I023400001,Piscine,Petit bassin,2340,Gauchy,2,Aisne,200071892,CA du Saint-Quentinois,Bassin ludique de natation,,Communauté d'Agglomération Saint-Quentin,EPCI,EPCI,False,Régie publique,60.0,10.0,6.0,1.0,1.0,,"[""Individuel(s),famille(s),Scolaires,universités,Autre - association(s) et groupes divers""]",1,0,Piscine,,,0,,0,3.2914,49.83087,"Aquagym, Baignade loisirs"
E002I026910012,I026910012,Piscine Jean Bouin,Grand bassin extérieur,2691,Saint-Quentin,2,Aisne,200071892,CA du Saint-Quentinois,Bassin mixte de natation,structurant,,EPCI,EPCI,False,Régie publique,375.0,25.0,15.0,1.9,3.7,,"[""Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités,Autre - association(s) et groupes divers""]",1,0,Piscine,,,0,,0,3.30887,49.85321,"Aquagym, Baignade loisirs"
E001I026910012,I026910012,Piscine Jean Bouin,Grand bassin intérieur,2691,Saint-Quentin,2,Aisne,200071892,CA du Saint-Quentinois,Bassin mixte de natation,structurant,Communauté d'Agglomération du Saint-Quentinois,EPCI,EPCI,False,Régie publique,375.0,25.0,15.0,1.7,2.4,,"[""Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités,Autre - association(s) et groupes divers""]",1,0,Piscine,,,0,,0,3.30916,49.8537,"Baignade loisirs, Nage avec palmes, Natation course sportive, Natation synchronisée, Plongée subaquatique (Plongée libre), Sauvetage en eau plate"
E003I026910012,I026910012,Piscine Jean Bouin,Petit bassin,2691,Saint-Quentin,2,Aisne,200071892,CA du Saint-Quentinois,Bassin ludique de natation,,,EPCI,EPCI,False,Régie publique,120.0,15.0,8.0,0.8,1.3,,"[""Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités""]",1,0,Piscine,,,0,,0,3.30916,49.8537,"Aquagym, Natation course sportive, Plongée subaquatique (Plongée libre)"
E003I020710003,I020710003,"Camping ""La Croix du vieux Pont",Bassin intérieur,2071,Berny-Rivière,2,Aisne,200071991,CC Retz-en-Valois,Bassin ludique de natation,,,Etablissement privé commercial,Etablissement privé commercial,,Autre gestion hors DSP,198.0,22.0,9.0,0.9,2.5,,"[""Individuel(s),famille(s),Scolaires,universités""]",1,0,Piscine,,,0,,0,3.12926,49.40491,"Aquagym, Baignade loisirs"
E001I028100025,I028100025,Piscine Intercommunale de Villers-Cotterêts,Bassin extérieur,2810,Villers-Cotterêts,2,Aisne,200071991,CC Retz-en-Valois,Bassin sportif de natation,structurant,Communauté de communes Retz-en-Valois,EPCI,EPCI,False,Régie publique,312.5,25.0,12.5,0.9,2.5,,"[""Individuel(s),famille(s),Scolaires,universités,Autre - association(s) et groupes divers""]",1,0,Piscine,,,0,,0,3.087675,49.260192,"Aquagym, Baignade loisirs, Natation course sportive"
E002I028100025,I028100025,Piscine Intercommunale de Villers-Cotterêts,Bassin intérieur,2810,Villers-Cotterêts,2,Aisne,200071991,CC Retz-en-Valois,Bassin mixte de natation,structurant,Communauté de communes Retz-en-Valois,EPCI,EPCI,False,Régie publique,250.0,25.0,10.0,0.9,2.1,,"[""Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités""]",1,0,Piscine,,,0,,0,3.087628,49.260515,"Aquagym, Baignade loisirs, Natation course sportive"
E001I023610002,I023610002,Centre aquatique AQUOISIA,Bassin mixte sportif/ludique,2361,Guise,2,Aisne,200071983,CC Thiérache Sambre et Oise,Bassin mixte de natation,structurant,Communauté de Communes de la Région de Guise,EPCI,,,Autre gestion hors DSP,280.0,25.0,,,,4.0,"[""Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités""]",1,0,Piscine,,,0,,0,3.647096,49.906217,Baignade loisirs
