id_installation,installation,code_commune,commune,epci_code,epci_nom,code_departement,departement,basins_total_on_site,school_basins_total_on_site,students_per_basin_on_site,students_per_school_basin_on_site,schools_total,schools_geolocated_total,students_total,students_geolocated_total,primary_students,secondary_students,distance_coverage_share,drive_time_coverage_share,average_distance_to_installation_km,average_drive_time_to_installation_min,average_drive_distance_to_installation_km,average_distance_to_basin_km,students_within_5km_installation_share,students_within_15min_installation_share,basins_total,installations_total,school_basins_total,students_per_basin,students_per_installation,students_per_school_basin
I621930005,PISCINE EMILE RANSON,62193,Calais,200090751,CA Grand Calais Terres et Mers,62,Pas-de-Calais,2,2,6438.5,6438.5,49,49,12877,12877,5167,7710,1.0,1.0,1.771075,5.382662,2.851603,1.749324,0.933137,0.985556,2,1,2,6438.5,12877.0,6438.5
I625100041,Espace aquatique et de remise en forme NAUTICAA,62510,Liévin,246200364,CA de Lens - Liévin,62,Pas-de-Calais,5,4,2571.8,3214.75,58,58,12859,12859,6332,6527,1.0,1.0,2.486713,5.218699,3.234689,2.439111,0.950618,1.0,5,1,4,2571.8,12859.0,3214.75
I800210027,Piscine Le Nautilus (structurant),80021,Amiens,248000531,CA Amiens Métropole,80,Somme,3,3,4184.0,4184.0,82,82,12552,12552,7652,4900,1.0,1.0,5.224391,8.791198,6.467958,5.124845,0.606198,0.799315,3,1,3,4184.0,12552.0,4184.0
I595070005,PISCINE MUNICIPALE,59507,Ronchin,200093201,Métropole Européenne de Lille,59,Nord,2,2,6257.0,6257.0,40,40,12514,12514,5542,6972,1.0,1.0,1.603538,5.679749,2.46449,1.591006,1.0,1.0,2,1,2,6257.0,12514.0,6257.0
I622500003,piscine municipale,62250,Courrières,246200299,CA d'Hénin-Carvin,62,Pas-de-Calais,1,1,12240.0,12240.0,58,58,12240,12240,7688,4552,1.0,1.0,4.254986,10.607072,6.025994,4.166707,0.659804,0.83799,1,1,1,12240.0,12240.0,12240.0
I593500021,Piscine plein Sud,59350,Lille,200093201,Métropole Européenne de Lille,59,Nord,1,1,12221.0,12221.0,53,53,12221,12221,7567,4654,1.0,1.0,1.602715,4.333129,2.145674,1.510057,1.0,1.0,1,1,1,12221.0,12221.0,12221.0
I624270010,Piscine Municipale Jean Jacques MALINA,62427,Hénin-Beaumont,246200299,CA d'Hénin-Carvin,62,Pas-de-Calais,2,2,5976.0,5976.0,40,40,11952,11952,5483,6469,1.0,1.0,2.734429,6.149155,4.395514,2.212018,0.858266,1.0,2,1,2,5976.0,11952.0,5976.0
I593680009,PISCINE MUNICIPALE,59368,La Madeleine,200093201,Métropole Européenne de Lille,59,Nord,2,2,5855.0,5855.0,37,37,11710,11710,5624,6086,1.0,1.0,1.309862,4.169431,1.852754,1.29561,1.0,1.0,2,1,2,5855.0,11710.0,5855.0
I590090057,PISCINE DU TRIOLO,59009,Villeneuve-d'Ascq,200093201,Métropole Européenne de Lille,59,Nord,2,2,5842.5,5842.5,47,47,11685,11685,6767,4918,1.0,1.0,3.16906,8.732514,4.527389,3.131843,0.729226,0.767565,2,1,2,5842.5,11685.0,5842.5
I603950010,Piscine des Sablons,60395,Méru,246000582,CC des Sablons,60,Oise,2,2,5800.5,5800.5,69,69,11601,11601,6537,5064,1.0,1.0,7.259056,11.880238,9.153462,7.136423,0.513145,0.654513,2,1,2,5800.5,11601.0,5800.5
I591220022,Stade Nautique Liberté,59122,Cambrai,200068500,CA de Cambrai,59,Nord,5,4,2297.8,2872.25,54,54,11489,11489,4109,7380,1.0,1.0,2.070957,4.374215,3.001072,2.047258,0.895726,0.95178,5,1,4,2297.8,11489.0,2872.25
I021680004,Complexe Citélium,02168,Château-Thierry,200072031,CA de la Région de Château-Thierry,02,Aisne,3,3,3817.666667,3817.666667,59,59,11453,11453,5894,5559,1.0,1.0,6.934727,13.722101,9.924696,6.855131,0.59085,0.6139,3,1,3,3817.666667,11453.0,3817.666667
I024080034,Le dôme - Centre aquatique & patinoire,02408,Laon,200043495,CA du Pays de Laon,02,Aisne,3,3,3768.0,3768.0,65,65,11304,11304,5282,6022,1.0,1.0,6.835486,12.219314,9.31413,6.636768,0.684979,0.732838,3,1,3,3768.0,11304.0,3768.0
I592950020,Piscine intercommunale d'Hazebrouck,59295,Hazebrouck,200040947,CC de Flandre Intérieure,59,Nord,2,2,5550.0,5550.0,53,53,11100,11100,5198,5902,1.0,1.0,3.848246,7.202814,4.895684,3.835893,0.678108,0.852793,2,1,2,5550.0,11100.0,5550.0
I621600029,PISCINE MUNICIPALE,62160,Boulogne-sur-Mer,246200729,CA du Boulonnais,62,Pas-de-Calais,3,2,3373.333333,5060.0,41,41,10120,10120,4226,5894,1.0,1.0,1.852138,4.797261,2.557034,1.809098,0.962648,0.997233,3,1,2,3373.333333,10120.0,5060.0
I593920011,PISCINE TOURNESOL DE L'EPINETTE,59392,Maubeuge,200043396,CA Maubeuge Val de Sambre,59,Nord,1,1,10025.0,10025.0,44,44,10025,10025,4430,5595,1.0,1.0,1.927472,5.683368,3.105575,1.918585,0.981147,1.0,1,1,1,10025.0,10025.0,10025.0
I591830087,Piscine Georges Guynemer,59183,Dunkerque,245900428,CU de Dunkerque,59,Nord,3,2,3307.0,4960.5,53,53,9921,9921,5141,4780,1.0,1.0,2.204726,5.438196,3.330526,2.164422,0.952122,1.0,3,1,2,3307.0,9921.0,4960.5
I594840006,Piscine du Sivah,59484,Quiévrechain,245901160,CA Valenciennes Métropole,59,Nord,2,2,4810.0,4810.0,49,49,9620,9620,5343,4277,1.0,1.0,7.068207,13.203387,9.602133,6.742551,0.239293,0.525676,2,1,2,4810.0,9620.0,4810.0
